page_index,record_index,inst_raw,book_page_raw,ref_book_page_raw,recorded_at_raw,town_primary,address_primary,consideration_raw,descr_raw,parties_n
,,3859,23657-63,,01-19-2021 12:35:22p,WILBRAHAM,21 RIPLEY ST,"147,500.00",RIPLEY ST,3
,,3842,23657-6,,01-19-2021 12:15:36p,WESTFIELD,3 MICHAEL DR,,MICHAEL DR,3
,,3811,23656-506,,01-19-2021 11:34:38a,LUDLOW,9 AUTUMN RIDGE RD,,AUTUMN RIDGE RD,3
,,3810,23656-504,,01-19-2021 11:34:38a,LUDLOW,9 AUTUMN RIDGE RD,,AUTUMN RIDGE RD,3
,,3807,23656-471,,01-19-2021 11:31:22a,SPRINGFIELD,37 DORSET ST,,DORSET ST,3
,,3786,23656-355,,01-19-2021 11:11:56a,SPRINGFIELD,8 PUTNAM ST,"147,500.00",PUTNAM ST,3
,,3936,23657-569,,01-19-2021 1:52:54p,AGAWAM,SHOEMAKER LA,1.00,,4
,,3921,23657-458,,01-19-2021 1:39:13p,SPRINGFIELD,51 ATWATER RD,1.00,ATWATER RD,3
,,3917,23657-422,,01-19-2021 1:34:36p,SPRINGFIELD,208-212 PEARL ST,1.00,"BELMONT AVE, STATE ST &0O",2
,,3915,23657-417,,01-19-2021 1:34:19p,MONSO,21 BUNYAN RD,"571,161.57",BUNYAN RD,3
,,3911,23657-411,,01-19-2021 1:30:36p,WESTFIELD,7 DONALD DR,"275,000.00",DONALD DR,2
,,3867,23657-108,23649-187,01-19-2021 12:46:48p,SPRINGFIELD,137 FAIR OAK RD,,FAIR OAK RD,0
,,3993,23658-212,,01-19-2021 2:24:33p,WEST SPRINGFIELD,20-22 MERRICK ST,"270,000.00",MERRICK ST,6
,,3987,23658-192,,01-19-2021 2:20:55p,LUDLOW,6 WATERS EDGE DR UNIT 6,"189,900.00",UNIT 6,2
,,3984,23658-174,,01-19-2021 2:19:38p,HOLYOKE,20 LONGWOOD AVE,1.00,LONGWOOD AVE,2
