stitched_page,stitched_record,stitched_refs,best_overlap,best_record_index,best_inst,best_refs
1,1,AGAWAM | SHOEMAKER LA || AGAWAM | 32 SHOEMAKER LA,2,1,3936,AGAWAM|32 SHOEMAKER LA || AGAWAM|SHOEMAKER LA
1,3,SPRINGFIELD | 208-212 PEARL ST || SPRINGFIELD | 4-8 LEYFRED TERR || SPRINGFIELD | 49 BELMONT AVE || SPRINGFIELD | 683-685 STATE ST,4,3,3917,SPRINGFIELD|683-685 STATE ST || SPRINGFIELD|49 BELMONT AVE || SPRINGFIELD|208-212 PEARL ST || SPRINGFIELD|4-8 LEYFRED TERR
3,1,WEST SPRINGFIELD | 1642 WESTFIELD ST || WEST SPRINGFIELD | 86 WOODMONT ST,2,1,4033,WEST SPRINGFIELD|1642 WESTFIELD ST || WEST SPRINGFIELD|86 WOODMONT ST
4,3,WEST SPRINGFIELD | 163 WOODMONT ST || SPRINGFIELD | 223 GROVELAND ST,2,3,4058,SPRINGFIELD|223 GROVELAND ST || WEST SPRINGFIELD|163 WOODMONT ST
7,1,HOLYOKE | ARTHUR ST || HOLYOKE | INGLESIDE ST,2,1,4191,HOLYOKE|ARTHUR ST || HOLYOKE|INGLESIDE ST
9,5,AGAWAM | 5 COTTONWOOD LA || AGAWAM | 67 RIDGE AVE,2,5,4252,AGAWAM|67 RIDGE AVE || AGAWAM|5 COTTONWOOD LA
11,3,AGAWAM | 301 SOUTH WEST ST || SPRINGFIELD | 256 EDENDALE ST,2,3,4347,AGAWAM|301 SOUTH WEST ST || SPRINGFIELD|256 EDENDALE ST
13,1,CHICOPEE | 61 ABBEY MEMORIAL DR UNIT 168 || CHICOPEE | 61 ABBEY MEMORIAL DR UNIT 42,2,1,4421,CHICOPEE|61 ABBEY MEMORIAL DR UNIT 168 || CHICOPEE|61 ABBEY MEMORIAL DR UNIT 42
33,6,HOLYOKE | 121-123 CLEMENTE ST || HOLYOKE | 121-123 ROBERTO CLEMENTE ST || HOLYOKE | 127-131 CLEMENTE ST || HOLYOKE | 127-131 ROBERTO CLEMENTE ST,4,6,5268,HOLYOKE|127-131 ROBERTO CLEMENTE ST || HOLYOKE|121-123 ROBERTO CLEMENTE ST || HOLYOKE|121-123 CLEMENTE ST || HOLYOKE|127-131 CLEMENTE ST
42,1,SPRINGFIELD | 185 KING ST || SPRINGFIELD | 185 KING ST UNIT 1 || SPRINGFIELD | 185 KING ST UNIT 2 || SPRINGFIELD | 249 GRESHAM ST || SPRINGFIELD | 27 WALSH ST || SPRINGFIELD | 66 WARRENTON ST,6,1,5798,SPRINGFIELD|185 KING ST || SPRINGFIELD|66 WARRENTON ST || SPRINGFIELD|185 KING ST UNIT 1 || SPRINGFIELD|185 KING ST UNIT 2 || SPRINGFIELD|249 GRESHAM ST || SPRINGFIELD|27 WALSH ST
