page_index,record_index,inst_raw,book_page_raw,ref_book_page_raw,recorded_at_raw,town_primary,address_primary,consideration_raw,descr_raw,parties_n
,,3936,23657-569,,01-19-2021 1:52:54p,AGAWAM,SHOEMAKER LA,1.00,,4
,,4148,23659-73,,01-20-2021 8:54:27a,HOLYOKE,INGLESIDE ST,10.00,INGLESIDE ST,4
,,4191,23659-320,,01-20-2021 9:36:54a,HOLYOKE,ARTHUR ST,,"INGLESIDE, ARTHUR STS",7
,,4617,23663-216,,01-21-2021 1:46:20p,SOUTHWICK,HONEY BIRD RUN,"125,000.00",HONEY BIRD RUN,2
,,4683,23663-566,,01-21-2021 3:05:53p,SOUTHWICK,HONEY BIRD RUN,"150,000.00",HONEY BIRD RU,2
,,4670,23663-521,,01-21-2021 2:54:24p,SOUTHWICK,HONEY BIRD RUN,"140,000.00",HONEY BIRD RU,2
,,4825,23664-576,,01-22-2021 11:12:47a,LUDLOW,SUNSET RIDGE,"125,000.00",SUNSET RIDGE,3
,,4993,23666-247,,01-22-2021 2:04:34p,LUDLOW,HARVEST DR,"139,900.00",HARVEST DR,3
,,5108,23667-171,,01-25-2021 8:38:55a,BRIMFIELD,FIRST ST,1.00,FIRST ST,0
,,5260,23668-256,,01-25-2021 11:48:53a,BRIMFIELD,FIRST ST,,FIRST ST,10
,,5419,23669-482,,01-25-2021 2:56:59p,BLANDFORD,GIBBS RD,"205,000.00",,2
,,6133,23676-214,,01-27-2021 3:37:55p,HOLYOKE,WHITNEY AVE,"257,500.00",,2
,,6402,23678-212,,01-28-2021 2:04:09p,WESTFIELD,NORTH RD,1.00,ORTHAMPTON ST,6
,,6658,23680-457,,01-29-2021 10:19:19a,MONSO,PARADISE LAKE RD,"170,000.00",HILLTOP DR &0O,5
,,6656,23680-452,,01-29-2021 10:10:50a,LUDLOW,ALDEN ST,"93,000.00",ALDEN ST,4
,,6871,23682-309,,01-29-2021 1:36:35p,CHICOPEE,SYCAMORE LA,"400,000.00",SYCAMORE LA,3
,,6942,23683-39,,01-29-2021 2:11:54p,TOLLAND,WOODCHUCK HOLLOW RD,,WOODCHUCK HOLLOW RD,2
,,6972,23683-176,,01-29-2021 2:30:53p,WESTFIELD,CLINTON AVE,"299,900.00",,2
,,7169,23684-468,,02-01-2021 8:45:37a,SOUTHWICK,LAKEVIEW ST,"104,475.00",,0
,,7425,23686-401,,02-01-2021 12:04:08p,HOLYOKE,BULLARD AVE,"515,000.00","MONTGOMERY, BULLARD AVES",4
,,8385,23693-547,,02-05-2021 9:34:04a,MONSON,LAKESHORE DR,"74,000.00",LAKESHORE DR,6
,,8433,23694-84,01080-0267,02-05-2021 10:49:59a,CHICOPEE,WEST ST,"130,000.00",WEST ST,3
,,8476,23694-198,,02-05-2021 11:30:29a,TOLLAND,COLEBROOK RIVER RD,"20,000.00",COLEBROOK RIVER RD,3
,,8514,23694-409,,02-05-2021 12:20:20p,PALMER,MAIN ST,"255,000.00",MAT ST,3
,,9203,23699-430,,02-09-2021 12:31:14p,WESTFIELD,TIMBERSWAMP RD,1.00,TIMBERSWAMP RD,4
,,9415,23701-319,,02-10-2021 11:11:22a,RUSSELL,HUNTINGTON RD,100.00,HUNTINGTON RD,4
,,9467,23701-558,,02-10-2021 12:53:44p,SPRINGFIELD,SUPERIOR AVE,"38,500.00",SUPERIOR AVE,3
,,9458,23701-526,,02-10-2021 12:43:58p,PALMER,WILBRAHAM ST,"535,000.00",WILBRAHAM ST,2
,,9532,23702-322,,02-10-2021 2:39:10p,BAST LONGMEADOW,BALDWIN ST,"1,500,000.00","BALDWIN ST,GLENDALE RD &0O",2
,,9806,23704-555,,02-11-2021 2:00:00p,SPRINGFIELD,PINE ST,1.00,PINE ST,3
,,9804,23704-550,,02-11-2021 1:58:08p,SPRINGFIELD,PINE ST,1.00,PINE ST,3
,,9991,23705-579,,02-12-2021 9:43:06a,LUDLOW,SUNSET RIDGE,"190,000.00",SUNSET RIDGE,3
,,10046,23706-208,,02-12-2021 11:06:17a,LUDLOW,MARIAS WAY,"125,000.00",MARIAS WAY,2
,,10068,23706-304,,02-12-2021 11:25:09a,WEST SPRINGFIELD,YORK ST,"100,000.00",YORK ST,3
,,10303,23708-130,,02-12-2021 2:52:08p,MONSO,MUNN RD,"212,000.00",MU RD,5
,,10515,23709-574,,02-16-2021 11:10:41a,WEST SPRINGFIELD,AGAWAM AVE,10.00,AGAWAM AVE,3
