city,total,matched,unmatched,pctMatched
BOSTON,39982,21258,18724,53.17
WAREHAM,2116,919,1197,43.43
NASHUA,172,21,151,12.21
PROVIDENCE,111,18,93,16.22
WORCESTER,9998,16,9982,0.16
WALTHAM,2967,14,2953,0.47
SPRINGFIELD,9448,13,9435,0.14
HUDSON,1512,12,1500,0.79
BROOKLINE,4040,11,4029,0.27
NEWTON,6609,11,6598,0.17
PAWTUCKET,118,11,107,9.32
SOMERVILLE,4758,10,4748,0.21
STURBRIDGE,917,8,909,0.87
TAUNTON,3915,7,3908,0.18
CHICOPEE,2998,7,2991,0.23
BELCHERTOWN,1001,6,995,0.6
FALL RIVER,4360,6,4354,0.14
SCITUATE,1758,6,1752,0.34
GRANBY,436,6,430,1.38
FITCHBURG,3408,5,3403,0.15
MEDFORD,3595,5,3590,0.14
MANCHESTER,437,5,432,1.14
CAMBRIDGE,5021,5,5016,0.1
ARLINGTON,2933,5,2928,0.17
QUINCY,5349,5,5344,0.09
MIDDLEBORO,1586,5,1581,0.32
NATICK,2668,4,2664,0.15
WINCHENDON,891,4,887,0.45
ROCKLAND,1115,4,1111,0.36
MENDON,405,4,401,0.99
BOURNE,1547,4,1543,0.26
LAWRENCE,1990,4,1986,0.2
NORTH ATTLEBORO,1792,4,1788,0.22
HAVERHILL,4239,4,4235,0.09
CONCORD,1365,4,1361,0.29
WARREN,493,4,489,0.81
WOONSOCKET,102,4,98,3.92
LOWELL,4847,4,4843,0.08
HANSON,655,4,651,0.61
NORTHBRIDGE,1165,3,1162,0.26
CARVER,644,3,641,0.47
WEST SPRINGFIELD,1520,3,1517,0.2
MONSON,605,3,602,0.5
NEW BEDFORD,4605,3,4602,0.07
WALPOLE,1711,3,1708,0.18
STOUGHTON,1899,3,1896,0.16
WESTFIELD,2151,3,2148,0.14
REVERE,2548,3,2545,0.12
EAST PROVIDENCE,52,3,49,5.77
FRAMINGHAM,3826,3,3823,0.08
ENFIELD,63,3,60,4.76
GRAFTON,1690,2,1688,0.12
FAIRHAVEN,1032,2,1030,0.19
LYNN,4441,2,4439,0.05
BARNSTABLE,3177,2,3175,0.06
BOXFORD,612,2,610,0.33
BROCKTON,5392,2,5390,0.04
HOLYOKE,1826,2,1824,0.11
WINDHAM,69,2,67,2.9
BRAINTREE,2032,2,2030,0.1
LAKEVILLE,1057,2,1055,0.19
EAST BRIDGEWATER,829,2,827,0.24
NORTH ADAMS,167,2,165,1.2
CHELSEA,1405,2,1403,0.14
PLAINVILLE,524,2,522,0.38
CHARLTON,874,2,872,0.23
SALEM,3159,2,3157,0.06
CENTRAL FALLS,26,2,24,7.69
PEMBROKE,1155,2,1153,0.17
EVERETT,1611,2,1609,0.12
PALMER,908,2,906,0.22
HOLDEN,1411,2,1409,0.14
WEST WARWICK,22,2,20,9.09
WARWICK,94,2,92,2.13
BURRILLVILLE,10,2,8,20
STOW,533,2,531,0.38
GARDNER,1657,2,1655,0.12
NEEDHAM,2026,2,2024,0.1
LEICESTER,851,2,849,0.24
BARRINGTON,37,2,35,5.41
HATFIELD,206,2,204,0.97
TEMPLETON,667,2,665,0.3
TYNGSBOROUGH,813,1,812,0.12
DERRY,70,1,69,1.43
OTIS,134,1,133,0.75
MELROSE,1731,1,1730,0.06
LEOMINSTER,2581,1,2580,0.04
PORTSMOUTH,33,1,32,3.03
MASHPEE,1965,1,1964,0.05
HULL,1169,1,1168,0.09
ATTLEBORO,2860,1,2859,0.03
SOUTH HADLEY,1166,1,1165,0.09
ACTON,1737,1,1736,0.06
CHELMSFORD,2308,1,2307,0.04
HAMPTON,35,1,34,2.86
MAYNARD,807,1,806,0.12
SAUGUS,1740,1,1739,0.06
DRACUT,2012,1,2011,0.05
WINTHROP,1271,1,1270,0.08
NORTH PROVIDENCE,32,1,31,3.13
MARBLEHEAD,1437,1,1436,0.07
GOFFSTOWN,6,1,5,16.67
RAYNHAM,874,1,873,0.11
LINCOLN,434,1,433,0.23
NORTH READING,1363,1,1362,0.07
EASTHAMPTON,796,1,795,0.13
NARRAGANSETT,4,1,3,25
NORTHAMPTON,1752,1,1751,0.06
MONTAGUE,426,1,425,0.23
SPENCER,967,1,966,0.1
DOUGLAS,791,1,790,0.13
DENNIS,1596,1,1595,0.06
MILFORD,1714,1,1713,0.06
BRISTOL,32,1,31,3.13
ROCHESTER,419,1,418,0.24
WOBURN,2423,1,2422,0.04
SHREWSBURY,2489,1,2488,0.04
GROTON,801,1,800,0.12
CHATHAM,832,1,831,0.12
MILLBURY,1007,1,1006,0.1
TOPSFIELD,442,1,441,0.23
RINDGE,12,1,11,8.33
METHUEN,3029,1,3028,0.03
WATERTOWN,2096,1,2095,0.05
NORTON,1300,1,1299,0.08
HOOKSETT,7,1,6,14.29
MEDWAY,953,1,952,0.1
PLAINFIELD,73,1,72,1.37
DUNSTABLE,186,1,185,0.54
MARLBOROUGH,2140,1,2139,0.05
MARSHFIELD,1611,1,1610,0.06
BILLERICA,2184,1,2183,0.05
CRANSTON,33,1,32,3.03
GEORGETOWN,532,1,531,0.19
BELMONT,1519,1,1518,0.07
GREENVILLE,8,1,7,12.5
GREENFIELD,1027,1,1026,0.1
SOUTHBRIDGE,1221,1,1220,0.08
EAST LONGMEADOW,1156,1,1155,0.09
LONGMEADOW,1168,1,1167,0.09
WARE,839,1,838,0.12
BREWSTER,874,0,874,0
FALMOUTH,2875,0,2875,0
HARWICH,1089,0,1089,0
ORLEANS,518,0,518,0
PROVINCETOWN,606,0,606,0
SANDWICH,1762,0,1762,0
TRURO,208,0,208,0
YARMOUTH,2390,0,2390,0
WILLIAMSTOWN,95,0,95,0
PITTSFIELD,436,0,436,0
EASTON,1794,0,1794,0
DARTMOUTH,1641,0,1641,0
REHOBOTH,1143,0,1143,0
MANSFIELD,1102,0,1102,0
TISBURY,100,0,100,0
GROVELAND,463,0,463,0
NORTH ANDOVER,2092,0,2092,0
ANDOVER,2402,0,2402,0
SWANSEA,1038,0,1038,0
LYNNFIELD,800,0,800,0
PEABODY,2297,0,2297,0
SWAMPSCOTT,1094,0,1094,0
BEVERLY,2141,0,2141,0
DANVERS,1545,0,1545,0
MIDDLETON,684,0,684,0
WENHAM,327,0,327,0
HAMILTON,591,0,591,0
GLOUCESTER,1663,0,1663,0
IPSWICH,1061,0,1061,0
ROWLEY,409,0,409,0
NEWBURY,578,0,578,0
NEWBURYPORT,1890,0,1890,0
SALISBURY,906,0,906,0
ROCKPORT,605,0,605,0
AMESBURY,1483,0,1483,0
ORANGE,748,0,748,0
NORTHFIELD,171,0,171,0
AGAWAM,1689,0,1689,0
WILBRAHAM,1349,0,1349,0
LUDLOW,1349,0,1349,0
AMHERST,1141,0,1141,0
SOUTHWICK,633,0,633,0
MALDEN,2383,0,2383,0
TEWKSBURY,1947,0,1947,0
CARLISLE,426,0,426,0
WILMINGTON,1323,0,1323,0
READING,1800,0,1800,0
STONEHAM,1421,0,1421,0
WESTFORD,1595,0,1595,0
LITTLETON,557,0,557,0
WAKEFIELD,1844,0,1844,0
WINCHESTER,1810,0,1810,0
ASHLAND,1281,0,1281,0
HOPKINTON,1546,0,1546,0
SUDBURY,1532,0,1532,0
BEDFORD,933,0,933,0
BOXBOROUGH,494,0,494,0
LEXINGTON,2239,0,2239,0
HOLBROOK,738,0,738,0
RANDOLPH,1683,0,1683,0
WEYMOUTH,3651,0,3651,0
DOVER,568,0,568,0
MEDFIELD,931,0,931,0
MILTON,1621,0,1621,0
NORWOOD,1532,0,1532,0
SHARON,1199,0,1199,0
WESTWOOD,1104,0,1104,0
BELLINGHAM,1224,0,1224,0
FRANKLIN,2033,0,2033,0
MILLIS,830,0,830,0
NORFOLK,924,0,924,0
WRENTHAM,953,0,953,0
CANTON,1877,0,1877,0
FOXBORO,974,0,974,0
WELLESLEY,2230,0,2230,0
COHASSET,829,0,829,0
DEDHAM,1811,0,1811,0
HALIFAX,517,0,517,0
DUXBURY,1175,0,1175,0
PLYMOUTH,6001,0,6001,0
WHITMAN,991,0,991,0
BRIDGEWATER,1577,0,1577,0
WEST BRIDGEWATER,524,0,524,0
HINGHAM,2018,0,2018,0
ATHOL,1163,0,1163,0
NORTHBOROUGH,1066,0,1066,0
SOUTHBOROUGH,801,0,801,0
WESTBOROUGH,1597,0,1597,0
WEST BOYLSTON,514,0,514,0
STERLING,525,0,525,0
RUTLAND,790,0,790,0
UXBRIDGE,1117,0,1117,0
UPTON,704,0,704,0
DUDLEY,817,0,817,0
OXFORD,1067,0,1067,0
SUTTON,766,0,766,0
AUBURN,1276,0,1276,0
BOLTON,527,0,527,0
HARVARD,443,0,443,0
LUNENBURG,973,0,973,0
BOYLSTON,364,0,364,0
CLINTON,1049,0,1049,0
ESSEX,196,0,196,0
SHIRLEY,467,0,467,0
WAYLAND,1040,0,1040,0
WESTPORT,1043,0,1043,0
FREETOWN,546,0,546,0
NANTUCKET,92,0,92,0
SHELBURNE,98,0,98,0
WELLFLEET,214,0,214,0
ABINGTON,1058,0,1058,0
EASTHAM,478,0,478,0
LENOX,44,0,44,0
NAHANT,293,0,293,0
WALES,160,0,160,0
WESTON,1133,0,1133,0
BURLINGTON,1198,0,1198,0
HANOVER,902,0,902,0
KINGSTON,948,0,948,0
HUBBARDSTON,319,0,319,0
WEBSTER,1356,0,1356,0
BLACKSTONE,624,0,624,0
BERLIN,278,0,278,0
NORWELL,824,0,824,0
AYER,621,0,621,0
EDGARTOWN,257,0,257,0
SHERBORN,504,0,504,0
HOLLISTON,1177,0,1177,0
OAK BLUFFS,103,0,103,0
DALTON,75,0,75,0
MERRIMAC,462,0,462,0
HOPEDALE,445,0,445,0
LANCASTER,493,0,493,0
WILLIAMSBURG,157,0,157,0
MARION,496,0,496,0
MATTAPOISETT,644,0,644,0
ATKINSON,30,0,30,0
WESTMINSTER,712,0,712,0
DEVENS,47,0,47,0
STOCKBRIDGE,28,0,28,0
WEST NEWBURY,371,0,371,0
DEERFIELD,285,0,285,0
PEPPERELL,792,0,792,0
TOWNSEND,622,0,622,0
AVON,306,0,306,0
BARRE,401,0,401,0
NORTH BROOKFIELD,388,0,388,0
GOSHEN,100,0,100,0
SANDOWN,19,0,19,0
SEABROOK,23,0,23,0
BERKLEY,389,0,389,0
DIGHTON,508,0,508,0
SEEKONK,944,0,944,0
SHUTESBURY,138,0,138,0
SUNDERLAND,129,0,129,0
GREAT BARRINGTON,17,0,17,0
PLAISTOW,37,0,37,0
EXETER,18,0,18,0
HAMPDEN,360,0,360,0
MERRIMACK,31,0,31,0
EAST BROOKFIELD,165,0,165,0
AQUINNAH,14,0,14,0
SOUTHAMPTON,407,0,407,0
SOMERSET,1083,0,1083,0
TIVERTON,106,0,106,0
PELHAM,160,0,160,0
PRINCETON,266,0,266,0
PAXTON,349,0,349,0
BROOKFIELD,257,0,257,0
ASHBURNHAM,681,0,681,0
WOODSTOCK,8,0,8,0
LACONIA,8,0,8,0
CLARKSBURG,22,0,22,0
HINSDALE,37,0,37,0
HADLEY,315,0,315,0
BUCKLAND,125,0,125,0
CHARLEMONT,86,0,86,0
SOUTH WINDSOR,5,0,5,0
LONDONDERRY,65,0,65,0
HANCOCK,11,0,11,0
MILLVILLE,255,0,255,0
ERVING,82,0,82,0
WEST BROOKFIELD,402,0,402,0
GILL,84,0,84,0
LANESBOROUGH,55,0,55,0
ACUSHNET,526,0,526,0
PLYMPTON,183,0,183,0
NEW BRAINTREE,65,0,65,0
ASHBY,279,0,279,0
PHILLIPSTON,207,0,207,0
LEVERETT,124,0,124,0
NEW SALEM,74,0,74,0
BERNARDSTON,140,0,140,0
COLRAIN,102,0,102,0
HEATH,86,0,86,0
MONROE,23,0,23,0
HAWLEY,50,0,50,0
ASHFIELD,99,0,99,0
HUNTINGTON,198,0,198,0
MIDDLEFIELD,34,0,34,0
WESTHAMPTON,150,0,150,0
FLORIDA,24,0,24,0
CHESHIRE,37,0,37,0
PERU,31,0,31,0
CHESTERFIELD,113,0,113,0
WORTHINGTON,155,0,155,0
ROYALSTON,121,0,121,0
EGREMONT,8,0,8,0
CHESTER,135,0,135,0
BRIMFIELD,361,0,361,0
BRENTWOOD,6,0,6,0
LEE,35,0,35,0
HOLLAND,327,0,327,0
STAFFORD,24,0,24,0
HARDWICK,255,0,255,0
OAKHAM,149,0,149,0
PETERSHAM,130,0,130,0
WENDELL,48,0,48,0
LEYDEN,52,0,52,0
ROWE,30,0,30,0
CONWAY,99,0,99,0
CUMMINGTON,79,0,79,0
WINDSOR,30,0,30,0
BECKET,135,0,135,0
MONTEREY,11,0,11,0
SHEFFIELD,14,0,14,0
BLANDFORD,116,0,116,0
GRANVILLE,116,0,116,0
RUSSELL,144,0,144,0
MEREDITH,1,0,1,0
ADAMS,71,0,71,0
SAVOY,10,0,10,0
WEST STOCKBRIDGE,10,0,10,0
WASHINGTON,8,0,8,0
TYRINGHAM,4,0,4,0
SANDISFIELD,28,0,28,0
CHILMARK,18,0,18,0
WEST TISBURY,52,0,52,0
WHATELY,86,0,86,0
TOLLAND,91,0,91,0
MONTGOMERY,58,0,58,0
GLOCESTER,7,0,7,0
EAST KINGSTON,6,0,6,0
GOSNOLD,8,0,8,0
NORTH SMITHFIELD,25,0,25,0
KILLINGLY,8,0,8,0
NEW MARLBORO,10,0,10,0
CUMBERLAND,93,0,93,0
PUTNAM,9,0,9,0
ALFORD,3,0,3,0
NEW ASHFORD,1,0,1,0
SOMERS,23,0,23,0
RICHMOND,13,0,13,0
NORTHWOOD,3,0,3,0
THOMPSON,10,0,10,0
BROOKLYN,5,0,5,0
JOHNSTON,15,0,15,0
WESTERLY,3,0,3,0
BARNSTEAD,4,0,4,0
DANVILLE,17,0,17,0
HAMPSTEAD,24,0,24,0
HOLLIS,11,0,11,0
SUFFIELD,2,0,2,0
NOTTINGHAM,2,0,2,0
SOMERSWORTH,7,0,7,0
LITTLE COMPTON,10,0,10,0
NORWICH,2,0,2,0
RAYMOND,11,0,11,0
FITZWILLIAM,4,0,4,0
ASHFORD,1,0,1,0
MONT VERNON,7,0,7,0
WILTON,4,0,4,0
SMITHFIELD,16,0,16,0
NEW IPSWICH,15,0,15,0
HEBRON,1,0,1,0
VERNON,3,0,3,0
NEWPORT,12,0,12,0
THORNTON,12,0,12,0
PETERBOROUGH,10,0,10,0
NEWMARKET,1,0,1,0
STRATHAM,6,0,6,0
COVENTRY,16,0,16,0
GILFORD,3,0,3,0
TROY,4,0,4,0
WINDSOR LOCKS,3,0,3,0
TILTON,3,0,3,0
CANDIA,4,0,4,0
EPPING,13,0,13,0
NEW DURHAM,2,0,2,0
OSSIPEE,1,0,1,0
WILLINGTON,1,0,1,0
AUGUSTA,1,0,1,0
SANBORNTON,2,0,2,0
MIDDLETOWN,3,0,3,0
UNION,2,0,2,0
NEW BRITAIN,1,0,1,0
STEWARTSTOWN,1,0,1,0
EAST GREENWICH,5,0,5,0
