"ADDRESS","TOWN_DESC","ZIP_CODE","ZIP_CODE_4","NO_BEDROOMS","BTH_DESC","SALE_PRICE","SETTLED_DATE","SQUARE_FEET","TOTAL_BLDG_SF_CI","LOT_SIZE","YEAR_BUILT","PROP_TYPE","STYLE_SF","GARAGE_SPACES_SF","PARKING_SPACES_SF","MARKET_TIME","LIST_PRICE","PRICE_PER_SQFT","HEATING_SF","SITE_CONDITION_CI","REMARKS","FIRM_RMK1","RSU_UNITS_CI","SALE_OFFICE","MAIN_SO","SALE_AGENT","LIST_AGENT","COUNTY","LIST_OFFICE","STREET_NAME","STREET_NUM","NO_HALF_BATHS","COOLING_CC","COL_COMMON_MF","COOLING_SF","HEA_COMMON_MF","HTE_MF","HEATING_CC","GARAGE_SPACES_CC","TOTAL_PARKING_CC","PARKING_SPACES_MF","PARKING_SPACES_CC","TOTAL_PARKING_SF","TOTAL_PARKING_MF","CONSTRUCTION_SF","CONSTRUCTION_MF","CONSTRUCTION_CC","STATUS","STATUS_DATE","CONTINGENCY_TYPE","TAXES","TAX_YEAR","REQD_OWN_ASSOCIATION_MH","REQD_OWN_ASSOCIATION_SF","REQD_OWN_ASSOCIATION_LD","ASSESSMENTS","ASSESSED_VALUE_BLDG_CI","ASSESSED_VALUE_LAND_CI","TOTAL_ASSESSED_VALUE_CI","PHOTO_DATE","INTERIOR_FEATURES_SF","IFE_COMMON_MF","INTERIOR_FEATURES_CC","CSO_ListDate","ACTIVE_STATUS_FLAG_DATE","LIST_DATE","OFF_MKT_DATE","OFFER_DATE","CTG_EXPIRY_DATE"
"800 Bearses Way U:1NE","Barnstable, MA","02601","2234",3,"2f 0h",,,1144,,,1974,"CC",,,,34,365000.00,319.06,,,"Inviting three-bedroom, two-full-bath second-floor condo at Cape Crossing Condos in Hyannis. Freshly painted and move-in ready, this bright unit features new carpeting, vinyl kitchen flooring, and a spacious open living/dining area with sliders to a private deck—perfect for morning coffee or evening relaxation. The primary bedroom offers an en suite bath, washer and dryer, and walk in closet. Enjoy the easy-care Cape lifestyle with on-site amenities including an inground pool, tennis court, picnic area, and community room. Ideal for year-round living or a carefree Cape getaway.","Call of text Natalia for showings 508-717-7631",,,,,"CN230629","Barnstable","AN4813","Bearses Way",800,0,"Window AC",,,,,"Electric",0,1,,1,0,0,,,,"ACT",12/2/2025 7:01:00 PM,,3056.00,"2025",,,,333100,,,,11/13/2025 1:46:00 PM,,,,,,"11/07/2025",,,
"110 School Street U:E209","Barnstable, MA","02601",,3,"3f 0h",,,1212,,0.00,2026,"CC",,,,27,1900000.00,1567.66,,,"Introducing - the Residences at Dockside. Starting at $549,000, there are great pre-construction opportunities being released now. Located between Cape Cod Hospital, Downtown Hyannis, and Hyannis Harbor, this location is very special. Construction is underway! Take advantage of this pre-construction opportunity and jump in early to get in on the more desirable units! E209 is a WATER VIEW 3 bed and 3 bath second floor suite with a rooftop balcony, only a handful of units have water views.","Please note taxes and association fees will be determined at a later date closer to the certificate of occupancy being granted.",,,,,"CN210391","Barnstable","AN6584","School Street",110,0,"Central Air",,,,,"Forced Air",1,1,,0,0,0,,,,"ACT",11/14/2025 10:39:00 AM,,0.00,"2026",,,,0,,,,11/14/2025 10:39:00 AM,,,,,,"11/14/2025",,,
"110 School Street U:E101","Barnstable, MA","02601",,2,"2f 0h",,,1012,,0.00,2026,"CC",,,,27,899000.00,888.34,,,"Introducing - the Residences at Dockside. Starting at $549,000, there are great pre-construction opportunities being released now. Located between Cape Cod Hospital, Downtown Hyannis, and Hyannis Harbor, this location is very special. Construction is underway! Take advantage of this pre-construction opportunity and jump in early to get in on the more desirable units! E101 is 2 bed and two bath ground floor suite, one of two opportunities available out of the 54 total suites.","Please note taxes and association fees will be determined at a later date closer to the certificate of occupancy being granted.",,,,,"CN210391","Barnstable","AN6584","School Street",110,0,"Central Air",,,,,"Forced Air",1,1,,0,0,0,,,,"ACT",11/14/2025 10:23:00 AM,,0.00,"2026",,,,0,,,,11/14/2025 10:23:00 AM,,,,,,"11/14/2025",,,
"110 School Street U:E114","Barnstable, MA","02601",,1,"1f 0h",,,613,,0.00,2026,"CC",,,,27,569000.00,928.22,,,"Introducing - the Residences at Dockside. Starting at $549,000, there are great pre-construction opportunities being released now. Located between Cape Cod Hospital, Downtown Hyannis, and Hyannis Harbor, this location is very special. Construction is underway! Take advantage of this pre-construction opportunity and jump in early to get in on the more desirable units! E114 is a 1 bed and 1 bath ground floor suite.","Please note taxes and association fees will be determined at a later date closer to the certificate of occupancy being granted.",,,,,"CN210391","Barnstable","AN6584","School Street",110,0,"Central Air",,,,,"Forced Air",1,1,,0,0,0,,,,"ACT",11/14/2025 10:16:00 AM,,0.00,"2026",,,,0,,,,11/14/2025 10:16:00 AM,,,,,,"11/14/2025",,,
"24 Bettys Pond Rd U:K","Barnstable, MA","02601",,2,"2f 0h",,,890,,,1981,"CC",,,,196,325000.00,365.17,,,"PRICE IMPROVEMENT!!!  Priced to sell.Completely renovated in 2024, this stunning 2-bed, 2-bath condo at 24 Betty's Pond Rd Unit K-1 offers stylish Cape Cod living just steps from it all! Enjoy central air, in-unit laundry hookups, and an ensuite primary bedroom for added comfort. Step outside to your private patio—perfect for dining or unwinding. Located across from the Cape Cod Melody Tent and less than a mile to Main Street Hyannis, you'll love walking to restaurants, shops, galleries, and nightlife. Veterans Beach is just 1.5 miles away and Kalmus Beach only 2 miles! Monthly HOA of $350 includes landscaping, snow removal, exterior maintenance, and road upkeep. No dogs or outdoor cats allowed. Trash disposal on-site for convenience. Whether you're a full-time resident or looking for a coastal getaway, this location can't be beat!","All information is deemed reliable but buyers and buyer's agent must conduct their own due diligence to ensure that all relevant information concerning the condo association is made available to any and all interested parties.",,,,,"CN235084","Barnstable","AN7250","Bettys Pond Rd",24,0,"Central Air",,,,,"Forced Air, Gas",0,1,,1,0,0,,,"Frame","ACT",10/3/2025 11:05:00 AM,,2341.00,"2025",,,,252500,,,,5/29/2025 1:36:00 PM,,,"Cable Available",,,"05/29/2025",,,
"720 Pitchers Way U:F52","Barnstable, MA","02601","2579",2,"2f 0h",,,1321,,,1988,"CC",,,,58,384900.00,291.37,,,"Sea Meadow Village. This stunning 2 bedroom, 2 bath townhouse has been completely renovated. All new kitchen with stainless steel appliances, new cabinets with granite counter tops, new floor. All new carpet throughout! Bathrooms updated. Separate laundry room with washer and dryer! Bonus room on 2nd level is ideal for spacious home office! Large 2nd floor primary bedroom with cathedral ceiling and slider with palladium window deck. Private bath and double closets! This unit also comes with a wire mesh storage room in the basement approx 12 x 12. Key location ! Central to down town shopping, side walks to CC Mall for shopping or employment. Keyes Beach is just a mile away , CC Hospital and down town Restaurants, and specialty shops! Easy access to Highway for commuters! Complex limits Year round rentals but they are allowed. Must occupy for 2 years before renting. Easy to show!","",,,,,"A9501720","Barnstable","AN3865","Pitchers Way",720,0,"None",,,,,"Electric",0,1,,1,0,0,,,,"ACT",10/15/2025 7:58:00 PM,,3132.00,"2025",,,,337900,,,,10/15/2025 7:58:00 PM,,,,,,"10/14/2025",,,
"46A Holt Rd U:A","Bourne, MA","02532","3434",3,"1f 1h",,,1320,,10410.00,2024,"CC",,,,363,524900.00,397.65,,,"New to the neighborhood....Canal Landing. Now offering one of 4 very special condominium homes in the Village of Buzzards Bay. Virtually everything you need and want to do is within walking distance whether it’s the Cape Cod Canal, Town Beach, Marina, Restaurants, Coffee Shops and Ice Cream Stands, Entertainment and Recreation including a bowling alley, community center with pickleball & yoga, arts and cafe, dinner train, Marine Life Center, fishing, beautiful public parks, outdoor concerts, a free splash park for the kids and holiday festivities, and so much more! These easy care but smartly designed homes offer 3 bedrooms, 1.5 baths, pantry and main floor laundry as well as an open kitchen/dining/living space with gleaming hardwood flooring, deck plus a garage and storage room under.  Live here  and enjoy all the area has to offer!","",,,,,"A9502442","Barnstable","A19401","Holt Rd",46,1,"Central Air, Heat Pump",,,,,"Heat Pump, Electric",1,3,,2,0,0,,,"Frame","ACT",5/27/2025 2:02:00 PM,,1363.00,"2024",,,,170000,,,,10/22/2025 2:25:00 PM,,,,,,"12/13/2024",,,
"27 Ships View Terrace U:27","Bourne, MA","02532",,2,"2f 0h",,,1875,,,1975,"CC",,,,305,450000.00,240.00,,,"This coveted corner unit offers stunning views of the bridges, canal and conservation land. The bright, airy floor plan features a living room with soaring 2-story ceilings, fireplace, sliding doors leading to the balcony and stunning new floors throughout. The main floor includes a full bath, primary bedroom, and second bedroom (currently an office) with a private balcony, separate laundry and storage room. The second floor boasts a spacious, flexible area with a full bath and vaulted ceilings—perfect for a family room, bedroom, or more. The condo offers large closets, 2 deeded parking spots, and amenities like an in-ground pool and tennis courts. Located minutes from the bridge, shops, beaches, restaurants, and bike paths, this condo provides easy access to everything Cape Cod offers. Don’t miss out on this opportunity to own a spacious, beautiful home in a prime location!","This unit is also for rent $3300 MLS # 73444075",,,,,"CN245123","Barnstable","AN4888","Ships View Terrace",27,0,"Central Air, Heat Pump, Unit Control",,,,,"Central Heat, Heat Pump, Gas, Unit Control, Wall Unit",0,2,,2,0,0,,,"Frame","ACT",7/7/2025 2:24:00 PM,,3080.00,"2024",,,,384100,,,,12/30/2024 10:32:00 AM,,,"Cable Available",,,"12/30/2024",,,
"13 Hideaway Village U:G","Bourne, MA","02532",,2,"1f 0h",,,578,,,1930,"CC",,,,42,359000.00,621.11,,,"This detached condo feels just like single family living! Recently remodeled, this 2-bedroom home can be sold fully furnished or vacant! Featuring Bay Views from the kitchen and living room, Summer is the perfect time to take full advantage of this quaint Bayside community. Take a short stroll to the private beach for swimming, fishing, sunbathing and kayaking. Have a boat? This home is also in close proximity to The Cape Cod Canal. Enjoy the cooler nights by a roaring fire outside on your own patio with charming garden area. Move in ready-this is a year-round residence but would also make for the perfect summer getaway place!","",,,,,"A8000429","Barnstable","AN6813","Hideaway Village",13,0,"Central Air, Heat Pump",,,,,"Heat Pump, Electric",0,1,,1,0,0,,,"Frame","ACT",10/30/2025 5:15:00 PM,,2314.00,"2025",,,,296300,,,,10/31/2025 8:29:00 AM,,,"Cable Available",,,"10/30/2025",,,
"5 Sea Knoll Court U:5","Bourne, MA","02532",,2,"2f 1h",,,1805,,,2003,"CC",,,,115,599000.00,331.86,,,"Golf Course Living at Brookside! Welcome to 5 Sea Knoll Court, located in the pristine Brookside Golf Course Community. This beautifully maintained end unit offers sweeping views of the course and a bright, open-concept layout perfect for entertaining. The main level features a spacious living room with vaulted ceilings and a slider leading to the oversized deck, a well-appointed kitchen, dining area, laundry, half bath, and a first-floor primary suite with a full bath. Upstairs, you'll find a generous loft overlooking the living area, a second bedroom, and another full bath. Additional highlights include an unfinished walk-out basement, one-car garage ideal for storing your golf clubs, and beautifully landscaped grounds. The community also offers a pool and on-site dining at the popular Bog Restaurant. Don't miss this opportunity to enjoy the Brookside lifestyle! Your Brookside Golf Course Retreat Awaits!","",,,,,"E9500749","Barnstable","AN7150","Sea Knoll Court",5,1,"Central Air",,,,,"Forced Air",1,3,,2,0,0,,,,"ACT",12/2/2025 5:26:00 PM,,4592.00,"2025",,,,588000,,,,10/15/2025 12:15:00 PM,,,,,,"08/18/2025",,,
"12 Turnberry Rd U:12","Bourne, MA","02532",,2,"2f 1h",,,1790,,191228.00,2005,"CC",,,,64,549900.00,307.21,,,"Stunning Fairway and Cranberry Bog Views surround the main living areas of this well-maintained Brookside Bayberry. An Open Concept Floor Plan features access to a full deck with electric awning, western exposure, and stairs to a grassy area. The first-level's primary suite is complete with tiled shower, quartz counter, and walk-in closet with custom built-ins. Maple Wood flooring, wood cabinets, and laundry/pantry area enhance the main living area. Private and spacious, the second level features a bedroom, loft, full bath, a walk-in cedar closet. Recent improvements include newer AC condenser, washer, and bath upgrades. Enjoy the Panoramic Views, Pristine Condition, Prime Location, and Maintenance-Free Living at Brookside! ~At the time of closing, Buyer to pay 2 months, nonrefundable HOA fees to the working capital reserve account.","",,,,,"CT008882","Barnstable","AN6351","Turnberry Rd",12,1,"Central Air",,,,,"Forced Air",1,3,,2,0,0,,,"Frame","ACT",10/8/2025 2:50:00 PM,,4353.00,"2025",,,,557300,,,,10/8/2025 2:50:00 PM,,,,,,"10/08/2025",,,
"11 Village Green Dr U:B","Bourne, MA","02562",,2,"1f 1h",,,1112,,260489.00,1989,"CC",,,,63,425000.00,382.19,,,"Welcome to Sagamore Beach!!!!! This beautiful 2 Bedroom End Unit condo is totally renovated! Relax on your full-length great deck, Short distance to Sagamore Beach!! Open floorplan perfect for entertaining. Lovely Kitchen with a granite breakfast bar, 2 good sized bedrooms and so much more.  This lovely unit is ready for you to move right in, This home definitely shows  ""Pride in ownership""!!","",,,,,"A0000431","Barnstable","A95534","Village Green Dr",11,1,"Window AC",,,,,"Electric Baseboard",1,3,,2,0,0,,,,"ACT",11/18/2025 1:37:00 PM,,2630.00,"2024",,,,327900,,,,11/5/2025 1:18:00 PM,,,,,,"10/09/2025",,,
