"ADDRESS","TOWN_DESC","ZIP_CODE","ZIP_CODE_4","NO_BEDROOMS","BTH_DESC","SALE_PRICE","SETTLED_DATE","SQUARE_FEET","TOTAL_BLDG_SF_CI","LOT_SIZE","YEAR_BUILT","PROP_TYPE","STYLE_SF","GARAGE_SPACES_SF","PARKING_SPACES_SF","MARKET_TIME","LIST_PRICE","PRICE_PER_SQFT","HEATING_SF","SITE_CONDITION_CI","REMARKS","FIRM_RMK1","RSU_UNITS_CI","SALE_OFFICE","MAIN_SO","SALE_AGENT","LIST_AGENT","COUNTY","LIST_OFFICE","STREET_NAME","STREET_NUM","NO_HALF_BATHS","COOLING_CC","COL_COMMON_MF","COOLING_SF","HEA_COMMON_MF","HTE_MF","HEATING_CC","GARAGE_SPACES_CC","TOTAL_PARKING_CC","PARKING_SPACES_MF","PARKING_SPACES_CC","TOTAL_PARKING_SF","TOTAL_PARKING_MF","CONSTRUCTION_SF","CONSTRUCTION_MF","CONSTRUCTION_CC","STATUS","STATUS_DATE","CONTINGENCY_TYPE","TAXES","TAX_YEAR","REQD_OWN_ASSOCIATION_MH","REQD_OWN_ASSOCIATION_SF","REQD_OWN_ASSOCIATION_LD","ASSESSMENTS","ASSESSED_VALUE_BLDG_CI","ASSESSED_VALUE_LAND_CI","TOTAL_ASSESSED_VALUE_CI","PHOTO_DATE","INTERIOR_FEATURES_SF","IFE_COMMON_MF","INTERIOR_FEATURES_CC","CSO_ListDate","ACTIVE_STATUS_FLAG_DATE","LIST_DATE","OFF_MKT_DATE","OFFER_DATE","CTG_EXPIRY_DATE"
"800 Bearses Way U:4WE","Barnstable, MA","02601",,2,"2f 0h",,,840,,,1974,"CC",,,,34,339000.00,403.57,,,"Welcome to the heart of Hyannis where this exquisite condo awaits. This renovated 2 bedroom and 2 full baths condo offers Bamboo floors throughout, updated kitchen with granite counter tops and stainless steel appliances, recessed lights and a master suite with a full bathroom . Located only minutes away from the multiple amenities Hyannis has to offer - pool, basketball and tennis court and less than 5 miles to some of the most popular beaches in the area. Make this residence the perfect home or an investment property!","All information from sources deemed reliable although no warranty is made as to the accuracy. Buyers/Agent to verify all information herein.",,,,,"TM331259","Barnstable","A95490","Bearses Way",800,0,"None",,,,,"Electric Baseboard, Electric",0,1,,1,0,0,,,,"EXP",11/12/2022 3:05:00 AM,,1796.00,"2022",,,,155200,,,,5/11/2022 12:50:00 PM,,,,,,"05/11/2022","11/11/2022",,
"20 Heritage Dr U:20","Bourne, MA","02532",,3,"2f 1h",,,1688,,30056.00,1981,"CC",,,,53,335000.00,198.46,,,"Townhouse in Tradewinds located off Waterhouse Rd in Bourne offers 3 bedrooms and 2 1/2 baths. The first floor has a large living room open to the dining area. Updated kitchen with granite counters. In 2015 many updates were done including new flooring, new windows, and slider. The 2nd floor has 3 bedrooms, 2 baths, a family room or sun room, washer and dryer. Hardwood floors on 2nd floor (not in the sunroom). The primary bedroom has its own bath and 2 closets, along with a slider to a small deck. There is a pull down attic for more storage. The roof is about 6 years old. HOA fees are just $310 a month. Tradewinds Association maintains the property nicely. Painting, roofs, etc are completed on a rotating schedule. The pool is sparkling! The association has a pool and tennis courts. There is a 1 car garage and plenty of parking. 20 Heritage is a duplex - on the left side. The deck is quite private. What a wonderful find this is!","",,,,,"A8001344","Barnstable","A95551","Heritage Dr",20,1,"Wall AC",,,,,"Electric Baseboard",1,5,,4,0,0,,,,"CAN",10/11/2022 11:15:00 AM,,2506.00,"2022",,,,248400,,,,7/1/2022 3:09:00 PM,,,"Cable Available",,,"07/01/2022","10/11/2022",,
"60 Fletcher Ln U:C","Brewster, MA","02631",,1,"1f 0h",,,579,,,1987,"CC",,,,127,249000.00,430.05,,,"Welcome to 60-C Fletcher Lane—an inviting and open concept, updated one-bedroom condo located across the way from the Fletcher Pools and fitness center. Positioned on the garden level, this unit offers a private walkout patio—ideal for summer cookouts or unwinding after a day at the beach. Inside, the kitchen is finished with Quartz countertops and lightly used appliances from 2017. Laminate flooring runs throughout the living and sleeping areas, creating a clean and cohesive look. Offered mostly furnished, this condo is currently the most affordable option in Ocean Edge. New AC unit, windows, sliders and recent exterior building upgrade, offer peace of mind. Whether you're seeking a year-round residence, a Cape Cod getaway, or a rental investment, this property is a fantastic opportunity to enjoy all that Brewster and Ocean Edge have to offer.","More pics will be coming. Per condo docs, 1 dog 10 lbs & under is allowed. Ocean Edge has ROFR. Membership is not required, however a membership is required if buyer wanted to use additional amenities. Please see documents for Condo Documents. The Monthly fee $510 total INCLUDES the special assessment of $147 schedule for the exterior renovations. Special assessment increases one time on 1/1/2026 by $80. Association will review every 10 years and MAY refinance to reduce amounts. Unit is lower level with walkout patio. Offered mostly furnished. Contact Adrienne Jones 508-246-0047Offers to Adrienne@leightonteam.com, please include condo addendum in Docs. Subject to Sellers closing on property they have under agreement.",,"",,"","TM350438","Barnstable","A95627","Fletcher Ln",60,0,"Wall AC",,,,,"Electric",0,0,,0,0,0,,,"Frame","CTG",12/3/2025 8:29:00 PM,"Financing",1588.00,"2025",,,,230900,,,,8/6/2025 3:17:00 PM,,,,"08/06/2025",,"08/06/2025",,"12/03/2025","12/16/2025"
"100 Fletcher Ln U:E","Brewster, MA","02631",,1,"1f 0h",,,579,,,1987,"CC",,,,107,255000.00,440.41,,,"Welcome to your perfect escape in the highly sought-after Ocean Edge Resort community in Brewster. This beautifully updated one-bedroom, one-bathroom condo offers a flexible opportunity—as a summer retreat, investment property, or comfortable year-round home. Step inside to a refreshed interior featuring a modern kitchen with brand-new appliances and elegant quartz countertops. Enjoy tranquil golf course views right from your unit, and take advantage of the Fletcher pool, just steps away.As part of the Ocean Edge Resort, optional memberships provide access to an impressive array of amenities including: Championship golf course, Multiple swimming pools, A private beach, and Comprehensive sports packages. Perfectly located near Brewster’s breathtaking bay beaches, Nickerson State Park, Cape Cod Rail Trail, and the town’s charming shops and restaurants, this condo places the best of Cape Cod right at your doorstep.Don’t miss this turn-key opportunity!","",,"",,"","A8001196","Barnstable","AN6701","Fletcher Ln",100,0,"Wall AC",,,,,"Electric",0,1,,1,0,0,,,,"CTG",12/2/2025 7:37:00 PM,"Inspection",1624.00,"2025",,,,236000,,,,8/26/2025 8:17:00 PM,,,,,,"08/26/2025",,"12/02/2025","12/15/2025"
"59 Route 6A U:29-4","Dennis, MA","02638",,2,"1f 1h",,,1080,,,1973,"CC",,,,116,439900.00,407.31,,,"This two Bedroom one and a half bath townhouse is located in highly desirable Cranberry Knoll in Dennis. This end unit townhouse is located in one of the most private sections of Cranberry Knoll. Upgraded kitchen and baths. Enjoy gleaming hardwood flooring in the dining room and sliders leading out to your private courtyard. The bedrooms are on the second floor with wall-to-wall carpet. There is a finished bonus room in the basement. Washer and Dryer are located in the basement. Ductless mini split on the first floor. Located just a short drive to popular beaches on Cape Cod Bay, Dennis Village, the Cape Playhouse and numerous shops and restaurants. Pets allowed with board permission; rentals restricted to six month minimums with board permission. Buyers and Buyers agents to confirm all information contained herein","",,,,,"A9501678","Barnstable","A95451","Route 6A",59,1,"Wall AC",,,,,"Hot Water Baseboard, Gas",0,2,,2,0,0,,,"Frame","PCG",12/11/2025 12:08:00 PM,,2029.00,"2025",,,,468800,,,,9/7/2025 7:01:00 PM,,,,,,"07/11/2025",,,
"505 Palmer Ave U:A","Falmouth, MA","02540",,3,"2f 0h",,,1796,,28749.00,1989,"CC",,,,112,725000.00,403.67,,,"PRICE IMPROVEMENT! Fall in love with the newly renovated townhouse with a fantastic in-town location, only a short distance to Main Street and Beaches. Hop on the Shining Sea Bikeway, head down to Woods Hole and take the ferry to Martha's Vineyard! With all new interior fixtures this unit has the new construction vibe. Enter into the open floor plan onto beautiful hardwood floors, soaring ceilings and new kitchen. A private bedroom and tiled bath complete the first floor while the second floor offers a light filled loft, two more spacious bedroom and new tiled bath. Additional living space is in the partially finished basement with built-in shelving, large screen tv and new laundry appliances. Easy living amenities include gas cooking and heating, air conditioning, plenty of private parking and beautiful outdoor living space with blue stone patio and shed, set on private lot with new septic system.","",,,,,"BB808569","Barnstable","AN7126","Palmer Ave",505,0,"Central Air",,,,,"Forced Air, Gas",0,4,,4,0,0,,,"Frame","EXP",8/16/2022 4:05:00 AM,,0.00,"2022",,,,0,,,,7/25/2022 7:41:00 PM,,,"Security System, Cable Available, Internet Available - Unknown",,,"04/13/2022","08/15/2022",,
"45 Highfield Dr U:6","Falmouth, MA","02540","2303",2,"2f 1h",,,2977,,43560.00,1988,"CC",,,,137,1289000.00,432.99,,,"This 2,977-square-foot condominium was thoroughly renovated in 2022 and features a split-level floor plan, hardwood flooring, classical molding, granite countertops in the kitchen and baths, abundant windows, and skylights. The great room boasts a gas fireplace, and double glass doors to a stone patio surrounded by boulders and Beebe Woods. The living and dining areas flow to the kitchen with an island, stainless-steel appliances, and sliding glass doors to the patio. A spacious owner's suite on the third floor includes a skylit loft, large windows, and skylights. Its luxurious en suite bath includes closets with built-ins, two private water closets, dual vanities, a tub, a shower with glass doors and seating, and a sizeable walk-in closet with built-ins. The guest bedroom, located on the second level, features two closets and an en suite bath with plentiful cabinets, a vanity with an oversized mirror, and a shower over tub with marble-lined walls. Also on this level is a laundry room.","",,,,,"A9501699","Barnstable","A95532","Highfield Dr",45,1,"Ductless Mini-Split System",,,,,"Forced Air, Gas",1,5,,4,0,0,,,,"EXP",8/31/2022 3:05:00 AM,,3752.00,"2021",,,,441400,,,,6/28/2022 12:54:00 PM,,,,,,"03/18/2022","08/30/2022",,
"601 Route 28 U:108","Harwich, MA","02646",,2,"2f 0h",,,1517,,,1996,"CC",,,,61,349900.00,230.65,,,"This very special first floor corner unit at The Melrose in downtown Harwich Port is a once in a lifetime opportunity. The only unit with its own private entrance off Bayview Rd, #108 also has a garage, basement storage AND your own private locked room to craft, woodwork or use for add'l storage. The open living floor plan features new Vintage Laminate plank flooring and is freshly painted. The sunlight is amazing with 15 windows across the side and front. The generous living room and dining areas are open to the white kitchen with stylish granite countertops and pendant lights. There's a bonus office/den off the dining room. The large primary bedroom has a full bath with tub and walk-in closet. The bright guest bedroom has wall to wall carpeting. This large unit at 1517 sq. feet offers central air, in-unit washer/dryer, plus the fantastic amenities and concierge services offered at the Melrose - so much is included with your fees. Walk to restaurants, shops, galleries and the beach.","",,,,,"A0000275","Barnstable","AN7132","Route 28",601,0,"Central Air",,,,,"Central Heat, Hot Water Baseboard, Gas",1,3,,2,0,0,,,"Frame","EXP",10/1/2022 3:06:00 AM,,1688.00,"2022",,,,208100,,,,7/16/2022 8:07:00 PM,,,"Cable Available",,,"06/23/2022","09/30/2022",,
"15E Riverview Ave U:15E","Mashpee, MA","02649",,2,"2f 0h",,,1508,,,1987,"CC",,,,28,510000.00,338.20,,,"Welcome to Cotuit Bay Condominiums, a serene community surrounded by conservation land with scenic walking and jogging trails. This sun-filled 2-bedroom, 2-bath condo offers stunning views of the Santuit River from all three levels. The living room features a Juliet balcony and cozy wood-burning fireplace, while the primary bedroom impresses with vaulted and beamed ceilings, its own Juliet balcony, and en-suite bathroom with double vanity. The second bedroom offers vaulted ceilings and beautiful hardwood flooring. The fully finished walk-out basement provides extra living space with high ceilings, recessed lighting, luxury vinyl flooring, and a spacious wine room/ closet. Enjoy the community amenities including a clubhouse, pool, tennis and pickleball courts, and fitness room. With two parking spaces and a prime location just minutes from Mashpee Commons, Shoestring Bay, and Riley’s Beach, this bright and inviting condo combines comfort, convenience, and the best of Cape Cod living.","",,"",,"","CN210041","Barnstable","AN6232","Riverview Ave",15,0,"Wall AC",,,,,"Hot Water Baseboard, Gas",0,1,,1,0,0,,,"Frame","CTG",12/1/2025 2:05:00 PM,"Pending P&S",2310.00,"2025",,,,349000,,,,11/13/2025 4:57:00 PM,,,,,,"11/13/2025",,"11/29/2025","12/14/2025"
"28 Gold Leaf Lane U:75","Mashpee, MA","02649",,2,"2f 2h",,,2303,,,2004,"CC",,,,42,685000.00,297.44,,,"In sought-after Windchime, this condominium offers open living space in mint condition*The living room is open & inviting w/stone front gas fireplace that serves as a  focal point*The partial cathedral ceiling w/skylights bathes the room in natural light*This open room creates a feeling of spaciousness & comfort*The kitchen is well-appointed w/center island for casual dining or work space*The large dining area is surrounded by windows & enhanced by a skylite*1st floor bedroom is a serene retreat w/ensuite bathroom*The 2nd floor offers spacious additional living space w/large loft & bedroom with ensuite full bath*The finished lower level is perfect for add'l sleeping quarters or a familyroom*This condo has ample space for comfortable living w/guests and entertaining*The property also features outdoor living space & patio*Great shopping, fine dining & entertainment just min away @ Mashpee Commons*So. Cape Beach just down the street*Assoc pool & tennis - This community has it all!","Buyer to pay 2 months of condo fees at closing for reserve contribution. New roof, hot water heater is 2021.  Buyer Agent - please see documents attached to the listing;",,"",,"","BB800554","Barnstable","K95456","Gold Leaf Lane",28,2,"Central Air",,,,,"Forced Air, Gas",0,2,,2,0,0,,,"Frame","CTG",12/6/2025 8:45:00 PM,"Pending P&S",4179.00,"2025",,,,631200,,,,10/30/2025 9:05:00 AM,,,"Security System, Cable Available",,,"10/30/2025",,"12/06/2025","12/19/2025"
