"ADDRESS","TOWN_DESC","ZIP_CODE","ZIP_CODE_4","NO_BEDROOMS","BTH_DESC","SALE_PRICE","SETTLED_DATE","SQUARE_FEET","TOTAL_BLDG_SF_CI","LOT_SIZE","YEAR_BUILT","PROP_TYPE","STYLE_SF","GARAGE_SPACES_SF","PARKING_SPACES_SF","MARKET_TIME","LIST_PRICE","PRICE_PER_SQFT","HEATING_SF","SITE_CONDITION_CI","REMARKS","FIRM_RMK1","RSU_UNITS_CI","SALE_OFFICE","MAIN_SO","SALE_AGENT","LIST_AGENT","COUNTY","LIST_OFFICE","STREET_NAME","STREET_NUM","NO_HALF_BATHS","COOLING_CC","COL_COMMON_MF","COOLING_SF","HEA_COMMON_MF","HTE_MF","HEATING_CC","GARAGE_SPACES_CC","TOTAL_PARKING_CC","PARKING_SPACES_MF","PARKING_SPACES_CC","TOTAL_PARKING_SF","TOTAL_PARKING_MF","CONSTRUCTION_SF","CONSTRUCTION_MF","CONSTRUCTION_CC","STATUS","STATUS_DATE","CONTINGENCY_TYPE","TAXES","TAX_YEAR","REQD_OWN_ASSOCIATION_MH","REQD_OWN_ASSOCIATION_SF","REQD_OWN_ASSOCIATION_LD","ASSESSMENTS","ASSESSED_VALUE_BLDG_CI","ASSESSED_VALUE_LAND_CI","TOTAL_ASSESSED_VALUE_CI","PHOTO_DATE","INTERIOR_FEATURES_SF","IFE_COMMON_MF","INTERIOR_FEATURES_CC","CSO_ListDate","ACTIVE_STATUS_FLAG_DATE","LIST_DATE","OFF_MKT_DATE","OFFER_DATE","CTG_EXPIRY_DATE"
"12 Weldon St","Boston, MA","02121","1329",,,,,,,1640.00,,"LD",,,,7,95000.00,,,,"Land with 3 car garage. Land with 2 family building is also for sale (MLS #73457370).","",,,,,"TM360217","Suffolk","AN8998","Weldon St",12,,,,,,,,,0,,,0,0,,,,"ACT",12/4/2025 5:09:00 PM,,419.00,"2025",,,,36200,,,,12/4/2025 5:09:00 PM,,,,,,"12/04/2025",,,
"141 norfolk st","Boston, MA","02124",,,,,,1380,,960.00,1910,"LD",,,,20,699000.00,506.52,,,"Prime development opportunity! Vacant brick building positioned in a high-traffic area, with three adjacent city-owned lots—ideal for expansion or redevelopment. Seller makes no legal representations regarding the status of the adjacent land; buyer must perform all due diligence.","",,,,,"BB300313","Suffolk","AN1406","norfolk st",141,,,,,,,,,0,,,0,0,,,,"ACT",11/21/2025 7:26:00 PM,,2092.00,"2025",,,,80600,,,,11/21/2025 7:26:00 PM,,,,,,"11/21/2025",,,
"Lot 84 Blue Hill Ave","Boston, MA","02119",,,,,,,,5460.00,,"LD",,,,20,1499000.00,,,,"Perfect for developer looking to start a project immediately!  Property to be delivered building permit-ready for 6 units; Buyer to pay fees before closing.  All units are 2-bedroom, 1-bath. Close to Nubian Square, Reggie Lewis Track Center, moments from I-93 and I-90. 15 minutes away for the Silver line, Roxbury Crossing Orange line to JP, Back Bay, Hay Market, etc. The property has been gutted in anticipation of future permit work.","",,,,,"TEAM0355","Suffolk","AN3337","Blue Hill Ave",84,,,,,,,,,0,,,0,0,,,,"ACT",11/21/2025 12:39:00 PM,,5419.00,"2023",,,,504600,,,,11/21/2025 12:39:00 PM,,,,,,"11/21/2025",,,
"5 Glenburne st","Boston, MA","02124",,,,,,,,3070.00,,"LD",,,,30,359000.00,,,,"Welcome to 5 Glenburne Street, Approved & Permitted development project located in the heart of Roxbury, Massachusetts—one of Boston’s most vibrant and rapidly transforming neighborhoods. This property offers the perfect opportunity for the next builder or developer looking to capitalize on the strong demand for high-quality housing in the city.The project features plans for a 3-bedroom, 2-bathroom home, thoughtfully designed to blend modern comfort with urban convenience. The lot is situated on a quiet residential street, while still being minutes away from public transit, local restaurants, parks, and major city developments.With construction-ready potential and a design that appeals to today’s buyers, this property is priced to sell — making it an excellent acquisition for investors or builders ready to take on their next project in Boston’s thriving housing market.","",,,,,"CN200323","Suffolk","AN1823","Glenburne st",5,,,,,,,,,0,,,0,0,,,,"ACT",11/11/2025 8:41:00 PM,,430.00,"2025",,,,9999,,,,11/11/2025 8:41:00 PM,,,,,,"11/11/2025",,,
"839-843 Cummins Hwy","Boston, MA","02126","2037",,,,,,,8688.00,,"LD",,,,74,1800000.00,,,,"Welcome to 839-841 Cummins Hwy in Mattapan, Boston, MA-a unique opportunity for both commercial and residential development. This property is zoned to accommodate up to 14 residential units and is also approved for various business uses. Originally a family-owned dry cleaners serving the community for over 30 years, the site is now a blank canvas ready for a visionary new owner. While the foundation remains, prospective buyers and their agents are encouraged to conduct their own due diligence to explore the full potential of this promising space. Situated on a bustling highway, the location offers excellent signage opportunities and high visibility. With new developments emerging along Cummins Hwy, this site is primed for revitalization and innovation in a thriving community.","Contact for more information and site showings must be accompanied by listing agent.",,,,,"CN248945","Suffolk","G95022","Cummins Hwy",839,,,,,,,,,0,,,0,0,,,,"ACT",9/28/2025 9:21:00 PM,,10623.00,"2025",,,,409200,,,,9/28/2025 9:21:00 PM,,,,,,"09/28/2025",,,
"26-28-30 Notre Dame","Boston, MA","02119","1231",,,,,,,11900.00,,"LD",,,,93,2699900.00,,,,"BOARD APPROVED 26 UNIT DEVELOPMENT by Boston Planning & Development!  Gorgeous building designed by KDA.  This parcel represents four contiguous lots acquired over several years located on a side street.  Designed with 15 on site parking spots, roof deck, ground level open spaces and terraces...this building is sure to be in demand in what has turned into a location booming with development.  Located on the JP/Rox line with a combination of 26 units broken down into:  1 Studio, 5-1 bdrm units, 2- 3 bdrm units and 18- 2 bdrm units.  Twenty two marketable units and four affordables. Ideally situated less than a half mile to the Orange Line and a mile to the Green Line.  Several shuttles are less than half a mile including JFK/UMass, Ruggles, Copley, Orange Line Back Bay and Forest Hills.  Building has over 28,000 sq ft of gross floor area over 5 floors of living and is designed with a community room and bike room.","",,,,,"TM311803","Suffolk","AN5028","Notre Dame",26,,,,,,,,,0,,,0,0,,,,"ACT",9/9/2025 11:24:00 AM,,6250.00,"2024",,,,573300,,,,9/9/2025 11:24:00 AM,,,,,,"09/09/2025",,,
"24 Waterman Road","Boston, MA","02131",,,,,,,,3000.00,,"LD",,,,139,299000.00,,,,"Opportunity Knocks!Attention developers, investors, and contractors — here's your chance to secure a 3,000 sq ft potentially buildable non-conforming lot in the highly sought-after Bourne neighborhood of Roslindale, Boston.This rare offering includes a deeded 10’ drive and passageway from Halliday Street directly to the lot. With its prime location and investment potential, this parcel offers endless possibilities — but please note: permits, variance approvals, and any necessary licenses are the sole responsibility of the buyer.Buyer to perform all due diligence.All offers will be reviewed by the seller on August 2nd.Please refer to MLS attachments for additional documents and disclosures.","Buyer to do own due dilligence",,,,,"BB800671","Suffolk","BB5745","Waterman Road",24,,,,,,,,,0,,,0,0,,,,"ACT",9/16/2025 7:59:00 AM,,2000.00,"2025",,,,200000,,,,7/26/2025 3:54:00 PM,,,,,,"07/25/2025",,,
"457 West Broadway","Boston, MA","02127",,,,,,,,9999.00,,"LD",,,,147,35000.00,,,,"PARKING SPACES FOR SALE   Spaces A302, C303, D304 are available for sale as a package or separately. Asking $35k/spot. Spots are in a Lift & Slide System in a heated garage and fit sedan or small crossover type SUV. Height restricted to 65"". Monthly Maintenance Fee: $211.31  Real Estate Taxes: $30.88","Garage entrance on Silver Street. Spots are located in The Blake condo building",,,,,"CN245250","Suffolk","AN0919","West Broadway",457,,,,,,,,,0,,,0,0,,,,"ACT",7/17/2025 11:39:00 AM,,370.56,"2024",,,,99999,,,,7/17/2025 11:39:00 AM,,,,,,"07/17/2025",,,
"36A Leyden St","Boston, MA","02128",,,,,,,,2450.00,,"LD",,,,213,475000.00,,,,"Attention Developers, Investors, and Builders: ZBA approved 3-family in East Boston's Orient Heights neighborhood. Building will consist of 4,382 total sq.ft. - Units will consist of: One stunning 4-bed/3-bath Duplex with over 1,800 sq ft of living space, and above are Two 3-bed/2-baths, 975 and 1050 sq ft, respectively. Located right between Route 1A and the Orient Heights T-stop, and with off street parking – this location is both a commuters and drivers dream. Orient Heights has recently limited construction to 2-family properties only. Take advantage of one of the last 3-fam approved developments today.","",,,,,"BB807966","Suffolk","AN8973","Leyden St",36,,,,,,,,,0,,,0,0,,,,"ACT",10/10/2025 12:46:00 PM,,0.00,"2025",,,,0,,,,5/12/2025 2:21:00 PM,,,,,,"05/12/2025",,,
"4959 Washington St","Boston, MA","02132","2145",,,,,,,99999999.00,,"LD",,,,330,75.00,,,,"50 Parking Spots available for rent immediately at a weekly rate of $75/spot/week.","",,,,,"BB954486","Suffolk","NB5359","Washington St",4959,,,,,,,,,0,,,0,0,,,,"ACT",1/15/2025 6:27:00 PM,,0.00,"2024",,,,9999999,,,,1/15/2025 6:27:00 PM,,,,,,"01/15/2025",,,
