"ADDRESS","TOWN_DESC","ZIP_CODE","ZIP_CODE_4","NO_BEDROOMS","BTH_DESC","SALE_PRICE","SETTLED_DATE","SQUARE_FEET","TOTAL_BLDG_SF_CI","LOT_SIZE","YEAR_BUILT","PROP_TYPE","STYLE_SF","GARAGE_SPACES_SF","PARKING_SPACES_SF","MARKET_TIME","LIST_PRICE","PRICE_PER_SQFT","HEATING_SF","SITE_CONDITION_CI","REMARKS","FIRM_RMK1","RSU_UNITS_CI","SALE_OFFICE","MAIN_SO","SALE_AGENT","LIST_AGENT","COUNTY","LIST_OFFICE","STREET_NAME","STREET_NUM","NO_HALF_BATHS","COOLING_CC","COL_COMMON_MF","COOLING_SF","HEA_COMMON_MF","HTE_MF","HEATING_CC","GARAGE_SPACES_CC","TOTAL_PARKING_CC","PARKING_SPACES_MF","PARKING_SPACES_CC","TOTAL_PARKING_SF","TOTAL_PARKING_MF","CONSTRUCTION_SF","CONSTRUCTION_MF","CONSTRUCTION_CC","STATUS","STATUS_DATE","CONTINGENCY_TYPE","TAXES","TAX_YEAR","REQD_OWN_ASSOCIATION_MH","REQD_OWN_ASSOCIATION_SF","REQD_OWN_ASSOCIATION_LD","ASSESSMENTS","ASSESSED_VALUE_BLDG_CI","ASSESSED_VALUE_LAND_CI","TOTAL_ASSESSED_VALUE_CI","PHOTO_DATE","INTERIOR_FEATURES_SF","IFE_COMMON_MF","INTERIOR_FEATURES_CC","CSO_ListDate","ACTIVE_STATUS_FLAG_DATE","LIST_DATE","OFF_MKT_DATE","OFFER_DATE","CTG_EXPIRY_DATE"
"425 Newbury St N-89","Boston, MA","02115",,,,,,,,204.00,,"LD",,,,20,138000.00,,,,"parking spot N-89. Covered Garage parking space for sale.","",,,,,"TM334278","Suffolk","AN2606","Newbury St N-89",425,,,,,,,,,0,,,0,0,,,,"EXP",11/1/2021 3:05:00 AM,,576.61,"2021",,,,108000,,,,7/26/2021 2:48:00 PM,,,,,,"07/26/2021","10/31/2021",,
"41 Woodcliff St","Boston, MA","02125",,,,,,,,3081.00,,"LD",,,,7,415000.00,,,,"Three Family Approved! Property being sold with ZBA approval for three units on the Dorchester Roxbury line. This uniquely designed three family features three bi-level spacious units ready to be built and finished to your specifications. Being sold with approvals only. Buyer's responsibility to obtain permit. Parcel1300829000.","",,,,,"TM005501","Suffolk","AC1495","Woodcliff St",41,,,,,,,,,0,,,0,0,,,,"CAN",8/15/2022 3:17:00 PM,,516.00,"2021",,,,48400,,,,7/6/2021 1:38:00 PM,,,,,,"07/06/2021","07/13/2021",,
"121 Neponset ave","Boston, MA","02136",,,,,,,,6535.20,,"LD",,,,42,450000.00,,,,"Owner says ""Make an Offer!"" Attention Developers, Builders here's your chance to potentially build your dream home on this parcel. Approved Plans in hand from the ""Planning board."" This lot is very close to the Milton Line. Lines for sewer, water is allready in the the lot. Electricity and gas lines on the street. Buy this lot for $450,000 or buy this and 119 Neponset Ave  (MLS #: 72844726)  for 1,000000. Buyer encouraged to perform ""due diligence"" prior to making an offer. Seller makes no representation.","Please send all the offers to Mark Singh in one PDF Format @ rentwithnewleaf@gmail.com",,,,,"K8001207","Suffolk","AN2758","Neponset ave",121,,,,,,,,,0,,,0,0,,,,"CAN",7/19/2021 11:56:00 AM,,3323.56,"2020",,,,254000,,,,6/7/2021 12:15:00 PM,,,,,,"06/07/2021","07/19/2021",,
"119 Neponset Ave","Boston, MA","02136",,,,,,,,11586.00,,"LD",,,,42,650000.00,,,,"Owner says ""Make an Offer!""  Attention Developers, Builders here's your chance to potentially build your dream home on this  parcel. Approved Plans in hand from the ""Planning board."" This lot is very close to the Milton Line. Lines for sewer, water is allready  in the the lot. Electricity and gas lines  on the street. Buy this lot for $650,000 or buy this  and 121 Neponset Ave for  ( 72844746)) 1,000000.  Buyer encouraged to perform ""due diligence"" prior to making an offer. Seller makes no representation.","please send all the offers to Mark Singh in one PDF Format @ rentwithnewleaf@gmail.com",,,,,"K8001207","Suffolk","AN2758","Neponset Ave",119,,,,,,,,,0,,,0,0,,,,"CAN",7/19/2021 11:56:00 AM,,3323.56,"2020",,,,254000,,,,6/7/2021 12:05:00 PM,,,,,,"06/07/2021","07/19/2021",,
"2 Avery","Boston, MA","02111",,,,,,,,0.00,,"LD",,,,50,200000.00,,,,"Commuter's Dream... Downtown Boston Parking Spot for Sale, Outright Ownership. NO Real Estate Taxes and NO Monthly Fee or Association Fee. Available Immediately. Level B3, Parking Space #7. 24 Hour Concierge Service and Valet. Can enter/exit garage with personal Entry Card. 24 Hour Surveillance. Easy In and Out Access with Elevator and Ramp.","",,,,,"CN240424","Suffolk","NB3376","Avery",2,,,,,,,,,0,,,0,0,,,,"EXP",7/1/2021 3:06:00 AM,,0.00,"00",,,,0,,,,5/12/2021 11:28:00 AM,,,,,,"05/12/2021","06/30/2021",,
"217-219 Saratoga","Boston, MA","02128",,,,,,,,4500.00,,"LD",,,,85,1600000.00,,,,"Incredible development opportunity in the Eagle Hill neighborhood of East Boston! Two parcels being sold together – One 2500 sq ft lot improved with a 3369 sq ft 3 family and a 2000 sq ft vacant lot currently used as parking. Meticulously maintained building has a newer roof, repointed front bricks, and full walk out basement. Building comprised of a 2 bed 1 bath and two 3 bed 1 bath units. Opportunity to combine lots and develop entire parcel or keep existing structure and develop adjoining lot. Great access to downtown Boston with a short 7-minute walk to the Airport Blue Line T stop. Buyer to do own due diligence regarding zoning and development potential. Seller makes no representations. Combined lot dimensions 45x100. Existing curb cut.","Seller will not entertain zoning approval contingent offers.",,,,,"CT006634","Suffolk","AN2314","Saratoga",217,,,,,,,,,0,,,0,0,,,,"EXP",8/6/2021 3:05:00 AM,,9046.53,"2021",,,,841000,,,,5/11/2021 9:06:00 PM,,,,,,"05/11/2021","08/05/2021",,
"26 Vale St","Boston, MA","02119",,,,,,,,9520.00,,"LD",,,,92,1250000.00,,,,"Huge lot in Roxbury's Hot Fort Hill Market!  Permits in hand to build four townhouses with garage parking.  Hold and easily collect 4000- each unit or condo them for sale!","List Agent has interest in project.",,,,,"BB804704","Suffolk","AN1882","Vale St",26,,,,,,,,,0,,,0,0,,,,"EXP",8/2/2021 3:05:00 AM,,0.00,"2021",,,,0,,,,4/23/2021 6:33:00 PM,,,,,,"04/23/2021","08/01/2021",,
"170 Tremont Street (parking 4 sale U:37","Boston, MA","02111",,0,"0f 0h",,,9999,,9999.00,1989,"LD",,,,106,50000.00,5.00,,,"One Valet Parking space for sale . Luxury level service, just pull up, leave the keys and the garage attendant will park your car for you. When it is time to leave, just call for your car and it will be brought out for you.","",,,,,"BB903144","Suffolk","AC0953","Tremont Street (parking 4 sale",170,0,,,,,,,,0,,,0,0,,,,"EXP",8/1/2021 3:05:00 AM,,0.00,"00",,,,0,,,,4/17/2021 1:32:00 PM,,,,,,"04/17/2021","07/31/2021",,
"132 Marginal St","Boston, MA","02128","2812",,,,,,,2813.00,,"LD",,,,148,1950000.00,,,,"","",,,,,"CN205751","Suffolk","AN6551","Marginal St",132,,,,,,,,,0,,,0,0,,,,"CAN",12/3/2021 11:07:00 AM,,7392.00,"2020",,,,700000,,,,4/5/2021 9:13:00 PM,,,,,,"04/05/2021","08/30/2021",,
"0 Fuller st","Boston, MA","02124","4633",,,,,,,4250.00,,"LD",,,,51,300000.00,,,,"** NO SHOWINGS WITHOUT BEING ACCOMPANIED BY THE LSTING AGENT** ** LAND IS NO LONGER BEING SOLD WITH MLS #72804405** Land! Great opportunity to develop this 4,250 sq. ft. of land.....BOSTON ZONING MAP SHOWS 2F-5000...Buyer/Buyer's agent is responsible for due diligence in regards to the development of the abutting parcel. Virtual tour attached.","EMAIL ALL OFFERS AS PDF ATTACHMENTS TO DIAMONDSANDPEARLSREALTY@GMAIL.COM. BUYER/BUYER'S AGENT RESPONSIBLE FOR VERIFYING INFORMATION IN THIS LISTING. **EMAIL ALL QUESTIONS NO PHONE CALLS PLEASE. NO SHOWINGS WITHOUT BEING ACCOMPANIED BY THE LSTING AGENT**",,,,,"CN225232","Suffolk","AN3158","Fuller st",0,,,,,,,,,0,,,0,0,,,,"CAN",5/14/2025 10:33:00 AM,,504.77,"2020",,,,47800,,,,3/25/2021 8:18:00 PM,,,,,,"03/25/2021","05/14/2021",,
