"ADDRESS","TOWN_DESC","ZIP_CODE","ZIP_CODE_4","NO_BEDROOMS","BTH_DESC","SALE_PRICE","SETTLED_DATE","SQUARE_FEET","TOTAL_BLDG_SF_CI","LOT_SIZE","YEAR_BUILT","PROP_TYPE","STYLE_SF","GARAGE_SPACES_SF","PARKING_SPACES_SF","MARKET_TIME","LIST_PRICE","PRICE_PER_SQFT","HEATING_SF","SITE_CONDITION_CI","REMARKS","FIRM_RMK1","RSU_UNITS_CI","SALE_OFFICE","MAIN_SO","SALE_AGENT","LIST_AGENT","COUNTY","LIST_OFFICE","STREET_NAME","STREET_NUM","NO_HALF_BATHS","COOLING_CC","COL_COMMON_MF","COOLING_SF","HEA_COMMON_MF","HTE_MF","HEATING_CC","GARAGE_SPACES_CC","TOTAL_PARKING_CC","PARKING_SPACES_MF","PARKING_SPACES_CC","TOTAL_PARKING_SF","TOTAL_PARKING_MF","CONSTRUCTION_SF","CONSTRUCTION_MF","CONSTRUCTION_CC","STATUS","STATUS_DATE","CONTINGENCY_TYPE","TAXES","TAX_YEAR","REQD_OWN_ASSOCIATION_MH","REQD_OWN_ASSOCIATION_SF","REQD_OWN_ASSOCIATION_LD","ASSESSMENTS","ASSESSED_VALUE_BLDG_CI","ASSESSED_VALUE_LAND_CI","TOTAL_ASSESSED_VALUE_CI","PHOTO_DATE","INTERIOR_FEATURES_SF","IFE_COMMON_MF","INTERIOR_FEATURES_CC","CSO_ListDate","ACTIVE_STATUS_FLAG_DATE","LIST_DATE","OFF_MKT_DATE","OFFER_DATE","CTG_EXPIRY_DATE"
"2 Ford St.","Boston, MA","02128",,39,"27f 0h",,,20825,,9409.00,2027,"MF",,,,3,3490000.00,167.59,,,"Attention Developers and Investors! Become an important part of East Boston's ever-changing history that will completely redefine the Orient Heights neighborhood for generations to come! 2 Ford St. Development Project is comprised of 2 lots including an existing auto body shop delivered with city approvals/plans for a 4 story building totaling 27 residential apartments (5 IDP/Affordable), 10 parking spaces and 1 ground level retail space. Located 0.2 miles from the Orient Heights MBTA Blue Line (4 stops to Downtown Boston) and 1 stop away from the massive Suffolk Downs Project (161 acres of mixed-use development), this transit-oriented project is a perfect opportunity for a buy and hold investment or future condo conversion! Buyer to perform due diligence and apply for building permits.","",,,,,"CN221576","Suffolk","AN2814","Ford St.",2,0,,,,,,,,0,10,,0,11,,,,"NEW",12/8/2025 9:59:00 PM,,0.00,"2025",,,,0,,,,12/8/2025 9:59:00 PM,,,,,,"12/08/2025",,,
"42 Monadnock Street","Boston, MA","02125",,10,"3f 0h",,,3321,,3049.00,1905,"MF",,,,7,1249000.00,376.09,,,"We are excited to offer this 3-unit multifamily property. The property is made up of one 4-bedroom / 1-bathroom apartment and two 3-bedroom / 1-bathroom apartments. Located in the heart of Dorchester, the building enjoys direct access to area amenities and excellent connectivity with multiple bus lines for access to downtown Boston. With 3 units in place, and two units currently vacant, the asset provides opportunity for investors and end users alike. In addition, the layout and condition create a platform for value-add enhancements and long-term growth potential.","Please EMAIL Kevin(kbenzinger@bradvisors.com) Dan(dalper@bradvisors.com) and Chris(chatem@bradvisors.com) for more financial information. Please allow 48 hours notice for tours.",,,,,"CN216101","Suffolk","AN8461","Monadnock Street",42,0,,,,,,,,0,0,,0,0,,,,"ACT",12/4/2025 11:54:00 AM,,99.00,"99",,,,99,,,,12/4/2025 11:54:00 AM,,,,,,"12/04/2025",,,
"3 Ware Street","Boston, MA","02125",,6,"3f 1h",,,3506,,6733.00,1894,"MF",,,,7,1100000.00,313.75,,,"Great investment or owner occupant opportunity on quiet street in Dorchester! Unit 1 is a spacious 4 bed, 2.5 bath unit spread across two levels. Entering the home, you’re greeted by a grand staircase, high ceilings, abundant natural light, and gleaming hardwood floors throughout. The first floor continues with a spacious living room, dining room, bedroom, 1.5 baths, and a large eat in kitchen. Upstairs, you’ll find three generously sized bedrooms, an updated full bath, and two walk-in closets! Unit 2 occupies the full top floor and offers a clean, recently updated 2-bed, 1-bath layout with bright spaces and charming details throughout. The basement also features a small kitchen and bathroom available for potential expansion and is currently separated for laundry and storage. Both units have access to a large backyard, 2 gated driveways and a newly constructed patio and storage shed. Gross rents are $7000/month. Lead certificates available, Brand new roof just installed December 2025!","Open House Saturday and Sunday 12-2PM",,,,,"CN223034","Suffolk","AN5323","Ware Street",3,1,,,,,,,,0,4,,0,4,,,,"ACT",12/4/2025 8:43:00 AM,,9693.00,"2025",,,,811400,,,,12/4/2025 8:59:00 AM,,,,,,"12/04/2025",,,
"74 Glenway St","Boston, MA","02121",,5,"3f 0h",,,2244,,2902.00,1900,"MF",,,,8,875000.00,389.93,,,"Well maintained two-family home ideal for both owner occupants and investors. The property features a two bedroom unit with a den, as well as a three bedroom unit, each offering spacious living areas and modern kitchens. The partially finished basement provides an opportunity to expand the room count for the first floor unit, adding versatility and value to the home. Excellent corner lot with easy commute to city.","",,,,,"CN206695","Suffolk","AC0672","Glenway St",74,0,,,,,,,,0,0,,0,0,,,,"ACT",12/3/2025 11:56:00 AM,,7922.00,"2025",,,,684100,,,,12/3/2025 11:56:00 AM,,,,,,"12/03/2025",,,
"11 Everett St","Boston, MA","02128",,3,"2f 0h",,,1598,,1062.00,1910,"MF",,,,9,650000.00,406.76,,,"Attention contractors, investors, and developers—opportunity knocks in highly sought-after Jeffries Point! FULL GUT! This multi-family property offers exceptional potential for value-add, long-term hold, or future redevelopment in one of East Boston’s most desirable and rapidly growing neighborhoods. Moments to the waterfront, Piers Park, Maverick Square, and the Blue Line, this location delivers unbeatable convenience and consistent rental demand. NO SHOWINGS at this time. Property will be sold occupied with tenants in place. Current tenants are on an active lease through November 2026. Being sold as-is. Bring your vision, creativity, and investment strategy—opportunities in Jeffries Point like this don’t come often.","",,,,,"CN239926","Suffolk","AN8648","Everett St",11,0,,,,,,,,0,0,,0,0,,,,"ACT",12/2/2025 11:49:00 AM,,6390.00,"2025",,,,551800,,,,12/2/2025 11:49:00 AM,,,,,,"12/02/2025",,,
"10 Everett Avenue","Boston, MA","02125",,11,"4f 0h",,,3942,,5752.00,1979,"MF",,,,10,1525000.00,386.86,,,"Amazing 4 Family in on elf the best areas in Dorchester. This Jones Hill 4 Family offers beautiful renovated apartments with separate utilities, newer kitchens and baths, upgraded systems and turn key operations.This home is centrally located with close proximity to the T, shops, restaurants and all that Savin/Jones Hill has to offer.Off street parking included.","48 Hours needed for showings.Please email Derek@longwoodresidential.com",,,,,"BB803659","Suffolk","AC1259","Everett Avenue",10,0,,,,,,,,0,4,,0,4,,"Frame, Brick",,"ACT",12/1/2025 2:42:00 PM,,10643.00,"2025",,,,919100,,,,12/1/2025 2:42:00 PM,,,,,,"12/01/2025",,,
"60 Stanley St","Boston, MA","02125",,22,"14f 2h",,,90000,,100000.00,2025,"MF",,,,10,4875000.00,54.17,,,"**Prime investment opportunity in one of Boston’s fastest-growing neighborhoods** This newly built 8-unit luxury development offers strong, dependable cash flow and exceptional long-term appreciation potential. Featuring 6 spacious 3BR/2BA units and 2 additional 2BR/1.5BA units (ranging from 923–1,321 sq ft), the property delivers the ideal mix for today’s high rental demand. Modern layouts, premium finishes, and 8 covered, deeded PARKING spaces enhance appeal while low-maintenance construction ensures minimal upkeep. Designed for maximum rentability and lasting quality, this turnkey asset offers investors stability, growth, and an attractive ROI in a rapidly developing Boston corridor. All units include 1-YEAR BUILDER WARRANTY from established and experienced local MA builders. Your tenants will enjoy local urban conveniences and also quiet cul de sac tranquility. Stop by today!","Seller flexible on closing date and terms. 8 UNITS in total in the building.",,,,,"CN250801","Suffolk","AN6199","Stanley St",60,2,,,,,,,,0,8,,0,16,,,,"ACT",12/1/2025 2:10:00 PM,,1670.00,"2025",,,,5000000,,,,12/1/2025 2:10:00 PM,,,,,,"12/01/2025",,,
"157-159 Fuller St","Boston, MA","02124",,6,"2f 0h",,,2128,,4250.00,2003,"MF",,,,10,1100000.00,516.92,,,"Located at 157-159 Fuller St in vibrant Boston, Massachusetts, this multi-family residence presents a remarkable opportunity to own a substantial property in a desirable location. This dwelling offers an impressive 2128 square feet of living area, thoughtfully distributed across two stories, providing ample room to create comfortable living spaces. With six bedrooms and two full bathrooms. The property occupies a 4250 square foot lot, presenting opportunities for outdoor enjoyment. Constructed in 2003, this residence offers a solid foundation. Brand new deck in the back! This Boston multi-family residence is ideally positioned to become your next rewarding investment.","first showing will be at open house",,,,,"BB807189","Suffolk","AN3262","Fuller St",157,0,,,,,,,,0,5,,0,5,,"Frame",,"ACT",12/1/2025 9:37:00 AM,,10093.00,"2025",,,,871600,,,,12/8/2025 11:45:00 AM,,,,,,"12/01/2025",,,
"13 Patterson ST","Boston, MA","02124",,5,"2f 0h",,,2650,,2800.00,1900,"MF",,,,12,765000.00,288.68,,,"Attention contractors and investors!! Nestled in Boston, MA, this 2-family multi-unit property presents an excellent investment opportunity. Built in 1900, this 2,650 sq ft home is spread across three floors, each featuring its own distinct living space. Subject to Suffolk County probate court docket number SU19D0891DR. The seller and broker do not make any disclosures, implied or otherwise. It is the buyer's or buyer’s agent's responsibility to do due diligence. Property is in need of updates and repairs. Sold as is. Tenants to remain place.","Buyer perform own due diligence. Seller makes no warranties or representations as to the condition of the property or its systems. Seller reserves right to accept higher/best offer.",,,,,"CN220574","Suffolk","AN6283","Patterson ST",13,0,,,,,,,,0,0,,0,0,,"Frame",,"ACT",11/29/2025 3:00:00 PM,,8169.00,"2025",,,,705600,,,,11/29/2025 4:31:00 PM,,,,,,"11/29/2025",,,
"340 Bremen Street","Boston, MA","02128",,70,"44f 0h",,,33524,,16800.00,2022,"MF",,,,17,20000000.00,596.59,,,"","CBRE Capital Markets has been exclusively retained to sell 340 Bremen Street, a 2022-built, urban apartment building in East Boston, MA. We are offering this property for sale without an asking price and will be conducting tours with a call-for-offers to follow shortly thereafter. For more information please reach out to listing agent.",,,,,"CN254297","Suffolk","AN4987","Bremen Street",340,0,,,,,,,,0,42,,0,84,,,,"ACT",11/26/2025 10:37:00 AM,,248596.00,"2025",,,,20741000,,,,11/26/2025 10:37:00 AM,,,,,,"11/24/2025",,,
